ANO_ELEICAO,NOME_MUNICIPIO,NOME_CANDIDATO,SIGLA_PARTIDO,NUMERO_PARTIDO,COMPOSICAO_LEGENDA
2012,CATINGUEIRA,ALBINO FELIX DE SOUSA NETO,PR,22,PP / PMDB / PR / DEM / PV
2012,CURRAL DE CIMA,NADIR FERNANDES DE FARIAS,DEM,25,PTB / PMDB / PSL / PR / DEM / PPL
2012,ASSUNÇÃO,RAFAEL ANDERSON DE FARIAS OLIVEIRA,PSD,55,PT / PTB / PRTB / PHS / PRP / PSD
2012,CARAÚBAS,SEVERINO VIRGÍNIO DA SILVA,PSC,20,PMDB / PSC
2012,LIVRAMENTO,CARMELITA ESTEVÃO VENTURA SOUSA,PR,22,PP / PSL / PR / PPS / DEM / PSB / PV / PSDB / PSD / PC do B
2012,DESTERRO,ROSÂNGELA DE FÁTIMA LEITE,PSB,40,PRB / PSC / DEM / PSB / PSDB / PSD / PC do B
2012,CATOLÉ DO ROCHA,LEOMAR BENICIO MAIA,PTB,14,PP / PTB / PPS / DEM / PV
2012,CONDADO,CAIO RODRIGO BEZERRA PAIXAO,PR,22,PP / PSC / PR / PRTB / PSDB
2012,CONDE,TATIANA LUNDGREN CORREA DE OLIVEIRA,PT do B,70,PRB / PP / PTB / PSL / PR / PHS / PMN / PTC / PV / PRP / PSDB / PC do B / PT do B
2012,CARRAPATEIRA,ANDRÉ PEDROSA ALVES,PTB,14,PDT / PT / PTB / PMDB / PPS
2012,TAPEROÁ,JURANDI GOUVEIA FARIAS,PMDB,15,PRB / PDT / PT / PMDB / PSC / PR / PPS / PSDC / PSDB
2012,CASSERENGUE,LUIS CARLOS FRANCISCO DOS SANTOS,PSD,55,PP / PT / DEM / PSB / PSD
2012,COXIXOLA,GIVALDO LIMEIRA DE FARIAS,DEM,25,DEM / PSB / PSDB / PSD
2012,ALAGOA GRANDE,HILDON REGIS NAVARRO FILHO,PR,22,PDT / PT / PMDB / PSC / PR
2012,PARARI,JOSE JOSEMAR FERREIRA DE SOUZA,PSB,40,PTB / PSC / PSB / PV / PSDB
2012,CATURITÉ,JAIR DA SILVA RAMOS,PSC,20,PTB / PMDB / PSC / PRTB / PHS
2012,PASSAGEM,MAGNO SILVA MARTINS,PMDB,15,PT / PMDB
2012,CONGO,ROMUALDO ANTONIO QUIRINO DE SOUSA,PDT,12,PDT / PT / PMDB / PSC / PV / PT do B
2012,CUBATI,EDUARDO RONIELLE GUIMARÃES MARTINS DANTAS,PMDB,15,PMDB / PPS / DEM
2012,PRINCESA ISABEL,DOMINGOS SÁVIO MAXIMIANO ROBERTO,PSDB,45,PRB / PT / PMDB / PPS / PSDB
2012,JOÃO PESSOA,LUCIANO CARTAXO PIRES DE SÁ,PT,13,PRB / PP / PT / PPS
2012,PEDRO RÉGIS,JOSE AURELIO FERREIRA,PSDB,45,PTB / PR / DEM / PSDB
2012,COREMAS,ANTÔNIO CARLOS CAVALCANTI LOPES,PSDB,45,PP / PMDB / PPS / DEM / PSDB / PC do B
2012,CUITÉ,EUDA FABIANA DE FARIAS PALMEIRA VENÂNCIO,PMDB,15,PP / PT / PMDB / PSL / PR
2012,CURRAL VELHO,JOAQUIM ALVES BARBOSA FILHO,PSDB,45,PTB / PMDB / DEM / PSDB / PSD / PC do B
2012,DIAMANTE,MARCILIA MANGUEIRA GUIMARÃES,PMDB,15,PMDB / PR / PSB / PC do B
2012,DAMIÃO,LUCILDO FERNANDES DE OLIVEIRA,PSB,40,PSC / PSB
2012,DUAS ESTRADAS,EDSON GOMES DE LUNA,PR,22,PT / PMDB / PR
2012,PEDRAS DE FOGO,DERIVALDO ROMÃO DOS SANTOS,PSB,40,DEM / PHS / PSB / PV / PRP / PSD
2012,PILÕES,ADRIANA APARECIDA SOUZA DE ANDRADE,PT do B,70,PRB / PTB / PMDB / DEM / PSB / PV / PSDB / PSD / PT do B
2012,PIRPIRITUBA,RINALDO DE LUCENA GUEDES,PSB,40,PRB / PDT / PT / PSB / PSD
2012,PRATA,ANTONIO COSTA NOBREGA JUNIOR,PMDB,15,PMDB / PSC / PMN / PRP / PT do B
2012,RIACHÃO DO BACAMARTE,JOSE GIL MOTA TITO,PSDB,45,PRB / PT / PMDB / PSC / PR / PSDB
2012,EMAS,JOSÉ WILLIAM SEGUNDO MADRUGA,PMDB,15,PRB / PP / PT / PMDB / PR / PT do B
2012,CUITÉ DE MAMANGUAPE,ISAURINA SANTOS MEIRELES DE BRITO,PMDB,15,PP / PMDB / PR / PPS / PSD / PT do B
2012,CUITEGI,GUILHERME CUNHA MADRUGA JUNIOR,PSB,40,PRB / PT / PMDB / PSC / PR / PPS / PSB / PPL / PSD
2012,SANTA LUZIA,JOSE ADEMIR PEREIRA DE MORAIS,DEM,25,PPS / DEM / PSDB / PSD
2012,SANTA RITA,REGINALDO PEREIRA DA COSTA,PRP,44,PR / PHS / PRP / PSDB / PT do B
2012,ITAPOROROCA,CELSO DE MORAIS ANDRADE NETO,DEM,25,PDT / PMDB / DEM / PSB / PSDB / PT do B
